		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)	(85)	(86)	(87)	(88)	(89)	(90)	(91)	(92)	(93)	(94)	(95)	(96)
D.covid	covid = D,				-0.0419***						-0.0419***						-0.0419***						-0.0419***						-0.0445***						-0.0445***						-0.0445***						-0.0445***						-0.0445***						-0.0273***						0						0						-0.0346***						-0.0346***						-0.0346***						-0.0346***		
					(0.00739)						(0.00739)						(0.00739)						(0.00739)						(0.00726)						(0.00726)						(0.00726)						(0.00726)						(0.00726)						(0.00423)						(0)						(0)						(0.00400)						(0.00400)						(0.00400)						(0.00400)		
scarring	scarring					0.0403						0.0403						0.0403						0.0403						0.00986						0.00986						0.00986						0.00986						0.00986						-0.579***						-0.0678***						-0.0678***						-0.100						-0.100						-0.100						-0.100	
						(0.0257)						(0.0257)						(0.0257)						(0.0257)						(0.0291)						(0.0291)						(0.0291)						(0.0291)						(0.0291)						(0.185)						(0.00646)						(0.00646)						(0.186)						(0.186)						(0.186)						(0.186)	
D.scarring	scarring = D,						0.0822***						0.0822***						0.0822***						0.0822***						0.0874***						0.0874***						0.0874***						0.0874***						0.0874***						0.0210***						0						0						-0.0563***						-0.0563***						-0.0563***						-0.0563***
							(0.0104)						(0.0104)						(0.0104)						(0.0104)						(0.0104)						(0.0104)						(0.0104)						(0.0104)						(0.0104)						(0.00633)						(0)						(0)						(0.00527)						(0.00527)						(0.00527)						(0.00527)
L.ln_pdrb	ln_pdrb = L,																																																							26.53***		44.96***		33.57***																																					
																																																								(3.860)		(11.07)		(6.325)																																					
L2.ln_pdrb	ln_pdrb = L,																																																							-1.357**		-2.418**		-1.439*		0.0512**		0.0366*		0.0549***		0.0512**		0.0366*		0.0549***																									
																																																								(0.596)		(1.084)		(0.737)		(0.0214)		(0.0200)		(0.0180)		(0.0214)		(0.0200)		(0.0180)																									
L2.ln_ntl	ln_ntl = L,																																																							-0.188		-0.231		-0.173		0.00710*		0.000809		0.00478		0.00710*		0.000809		0.00478																									
																																																								(0.121)		(0.203)		(0.148)		(0.00425)		(0.00393)		(0.00359)		(0.00425)		(0.00393)		(0.00359)																									
L3.ln_pdrb	ln_pdrb = L,																																																							-0.804		-2.042*		-1.386*		0.0303		0.0454**		0.0377**		0.0303		0.0454**		0.0377**																									
																																																								(0.611)		(1.158)		(0.800)		(0.0217)		(0.0199)		(0.0185)		(0.0217)		(0.0199)		(0.0185)																									
L3.ln_ntl	ln_ntl = L,																																																							0.571***		1.019***		0.624***		-0.0215***		-0.0223***		-0.0166***		-0.0215***		-0.0223***		-0.0166***																									
																																																								(0.127)		(0.292)		(0.166)		(0.00409)		(0.00375)		(0.00343)		(0.00409)		(0.00375)		(0.00343)																									
L4.ln_pdrb	ln_pdrb = L,																																																							-22.84***		-39.69***		-28.04***		0.861***		0.876***		0.892***		0.861***		0.876***		0.892***																									
																																																								(3.367)		(9.863)		(5.328)		(0.0228)		(0.0214)		(0.0202)		(0.0228)		(0.0214)		(0.0202)																									
L4.ln_ntl	ln_ntl = L,																																																							0.164		0.121		0.153		-0.00617		0.00106		0.00225		-0.00617		0.00106		0.00225																									
																																																								(0.104)		(0.173)		(0.128)		(0.00403)		(0.00374)		(0.00345)		(0.00403)		(0.00374)		(0.00345)																									
L.covid	covid = L,																																																															0.0393***						0.0393***																											
																																																																(0.00658)						(0.00658)																											
L2.covid	covid = L,																																																															-0.0434***						-0.0434***																											
																																																																(0.00667)						(0.00667)																											
L3.covid	covid = L,																																																															0.00984						0.00984																											
																																																																(0.00656)						(0.00656)																											
L4.covid	covid = L,																																																															0.0387***						0.0387***																											
																																																																(0.00498)						(0.00498)																											
L.scarring	scarring = L,																																																																	0.0438***						0.0438***																									
																																																																		(0.00845)						(0.00845)																									
L2.scarring	scarring = L,																																																																	-0.0626***						-0.0626***																									
																																																																		(0.00832)						(0.00832)																									
L3.scarring	scarring = L,																																																																	0.0175**						0.0175**																									
																																																																		(0.00832)						(0.00832)																									
L4.scarring	scarring = L,																																																																	0.0672***						0.0672***																									
																																																																		(0.00619)						(0.00619)																									
ec_dfe																																																																											-0.0374***						-0.0374***						-0.0374***						-0.0374***				
																																																																											(0.00851)						(0.00851)						(0.00851)						(0.00851)				
LD.ln_pdrb	ln_pdrb = L,																																																																										-0.602***		-0.605***		-0.654***		-0.602***		-0.605***		-0.654***		-0.602***		-0.605***		-0.654***		-0.602***		-0.605***		-0.654***
																																																																											(0.0255)		(0.0263)		(0.0265)		(0.0255)		(0.0263)		(0.0265)		(0.0255)		(0.0263)		(0.0265)		(0.0255)		(0.0263)		(0.0265)
L2D.ln_pdrb	ln_pdrb = L2,																																																																										-0.551***		-0.549***		-0.583***		-0.551***		-0.549***		-0.583***		-0.551***		-0.549***		-0.583***		-0.551***		-0.549***		-0.583***
																																																																											(0.0270)		(0.0274)		(0.0277)		(0.0270)		(0.0274)		(0.0277)		(0.0270)		(0.0274)		(0.0277)		(0.0270)		(0.0274)		(0.0277)
L3D.ln_pdrb	ln_pdrb = L3,																																																																										-0.507***		-0.500***		-0.544***		-0.507***		-0.500***		-0.544***		-0.507***		-0.500***		-0.544***		-0.507***		-0.500***		-0.544***
																																																																											(0.0265)		(0.0270)		(0.0270)		(0.0265)		(0.0270)		(0.0270)		(0.0265)		(0.0270)		(0.0270)		(0.0265)		(0.0270)		(0.0270)
L4D.ln_pdrb	ln_pdrb = L4,																																																																										0.264***		0.267***		0.270***		0.264***		0.267***		0.270***		0.264***		0.267***		0.270***		0.264***		0.267***		0.270***
																																																																											(0.0250)		(0.0248)		(0.0251)		(0.0250)		(0.0248)		(0.0251)		(0.0250)		(0.0248)		(0.0251)		(0.0250)		(0.0248)		(0.0251)
LD.ln_ntl	ln_ntl = L,																																																																										0.0101*		0.00918*		0.000825		0.0101*		0.00918*		0.000825		0.0101*		0.00918*		0.000825		0.0101*		0.00918*		0.000825
																																																																											(0.00576)		(0.00536)		(0.00512)		(0.00576)		(0.00536)		(0.00512)		(0.00576)		(0.00536)		(0.00512)		(0.00576)		(0.00536)		(0.00512)
L2D.ln_ntl	ln_ntl = L2,																																																																										0.0170***		0.0121**		0.00564		0.0170***		0.0121**		0.00564		0.0170***		0.0121**		0.00564		0.0170***		0.0121**		0.00564
																																																																											(0.00530)		(0.00492)		(0.00473)		(0.00530)		(0.00492)		(0.00473)		(0.00530)		(0.00492)		(0.00473)		(0.00530)		(0.00492)		(0.00473)
L3D.ln_ntl	ln_ntl = L3,																																																																										0.00425		-0.00369		-0.00491		0.00425		-0.00369		-0.00491		0.00425		-0.00369		-0.00491		0.00425		-0.00369		-0.00491
																																																																											(0.00439)		(0.00407)		(0.00392)		(0.00439)		(0.00407)		(0.00392)		(0.00439)		(0.00407)		(0.00392)		(0.00439)		(0.00407)		(0.00392)
L4D.ln_ntl	ln_ntl = L4,																																																																										-0.00271		-0.00343		-0.00439		-0.00271		-0.00343		-0.00439		-0.00271		-0.00343		-0.00439		-0.00271		-0.00343		-0.00439
																																																																											(0.00327)		(0.00302)		(0.00290)		(0.00327)		(0.00302)		(0.00290)		(0.00327)		(0.00302)		(0.00290)		(0.00327)		(0.00302)		(0.00290)
ec_dfe_co																																																																													-0.0332***						-0.0332***						-0.0332***						-0.0332***		
																																																																													(0.00955)						(0.00955)						(0.00955)						(0.00955)		
LD.covid	covid = L,																																																																												0.00367						0.00367						0.00367						0.00367		
																																																																													(0.00410)						(0.00410)						(0.00410)						(0.00410)		
L2D.covid	covid = L2,																																																																												-0.0365***						-0.0365***						-0.0365***						-0.0365***		
																																																																													(0.00405)						(0.00405)						(0.00405)						(0.00405)		
L3D.covid	covid = L3,																																																																												-0.0223***						-0.0223***						-0.0223***						-0.0223***		
																																																																													(0.00420)						(0.00420)						(0.00420)						(0.00420)		
L4D.covid	covid = L4,																																																																												0.0458***						0.0458***						0.0458***						0.0458***		
																																																																													(0.00566)						(0.00566)						(0.00566)						(0.00566)		
ec_dfe_sc																																																																															-0.0169*						-0.0169*						-0.0169*						-0.0169*
																																																																															(0.00939)						(0.00939)						(0.00939)						(0.00939)
LD.scarring	scarring = L,																																																																														-0.000834						-0.000834						-0.000834						-0.000834
																																																																															(0.00544)						(0.00544)						(0.00544)						(0.00544)
L2D.scarring	scarring = L2,																																																																														-0.0707***						-0.0707***						-0.0707***						-0.0707***
																																																																															(0.00521)						(0.00521)						(0.00521)						(0.00521)
L3D.scarring	scarring = L3,																																																																														-0.0407***						-0.0407***						-0.0407***						-0.0407***
																																																																															(0.00557)						(0.00557)						(0.00557)						(0.00557)
L4D.scarring	scarring = L4,																																																																														0.0380***						0.0380***						0.0380***						0.0380***
																																																																															(0.00549)						(0.00549)						(0.00549)						(0.00549)
Constant	Constant		1.758***		1.970***		1.924***		1.758***		1.970***		1.924***		1.758***		1.970***		1.924***		1.758***		1.970***		1.924***		1.739***		2.106***		1.881***		1.739***		2.106***		1.881***		1.739***		2.106***		1.881***		1.739***		2.106***		1.881***		1.739***		2.106***		1.881***		0.561***		0.201*		0.763***		0.561***		0.398***		0.198*		0.561***		0.398***		0.198*		0.438***		0.372***		0.224**		0.438***		0.372***		0.224**		0.438***		0.372***		0.224**		0.438***		0.372***		0.224**
			(0.122)		(0.130)		(0.127)		(0.122)		(0.130)		(0.127)		(0.122)		(0.130)		(0.127)		(0.122)		(0.130)		(0.127)		(0.126)		(0.141)		(0.130)		(0.126)		(0.141)		(0.130)		(0.126)		(0.141)		(0.130)		(0.126)		(0.141)		(0.130)		(0.126)		(0.141)		(0.130)		(0.0954)		(0.108)		(0.0984)		(0.0954)		(0.107)		(0.104)		(0.0954)		(0.107)		(0.104)		(0.0959)		(0.105)		(0.103)		(0.0959)		(0.105)		(0.103)		(0.0959)		(0.105)		(0.103)		(0.0959)		(0.105)		(0.103)
																																																																																																	
Observations		.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
DFE		plain	plain	Covid	Covid	Scarring	Scarring	plain	plain	Covid	Covid	Scarring	Scarring	plain	plain	Covid	Covid	Scarring	Scarring	plain	plain	Covid	Covid	Scarring	Scarring	plain	plain	Covid	Covid	Scarring	Scarring	plain	plain	Covid	Covid	Scarring	Scarring	plain	plain	Covid	Covid	Scarring	Scarring	plain	plain	Covid	Covid	Scarring	Scarring	plain	plain	Covid	Covid	Scarring	Scarring	plain	plain	Covid	Covid	Scarring	Scarring	plain	plain	Covid	Covid	Scarring	Scarring	plain	plain	Covid	Covid	Scarring	Scarring	plain	plain	Covid	Covid	Scarring	Scarring	plain	plain	Covid	Covid	Scarring	Scarring	plain	plain	Covid	Covid	Scarring	Scarring	plain	plain	Covid	Covid	Scarring	Scarring
Standard errors in parentheses																																																																																																	
*** p<0.01, ** p<0.05, * p<0.1																																																																																																	
