		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)
D.ln_ntl	ln_ntl = D,		0.0130**		0.0128**		0.00275		0.00275		0.0130**		0.0128**		0.00275	-0.00254	0.0143	-0.00271	0.0229***	0.0131**	-0.00150		0.0130**		0.0128**		0.00275	-0.00254	0.0143	-0.00271	0.0229***	0.0131**	-0.00150		0.0130**		0.0128**		0.00275	-0.00254	0.0143	-0.00271	0.0229***	0.0131**	-0.00150
			(0.00593)		(0.00556)		(0.00526)		(0.00526)		(0.00593)		(0.00556)		(0.00526)	(0.00841)	(0.00882)	(0.00910)	(0.00659)	(0.00533)	(0.00414)		(0.00593)		(0.00556)		(0.00526)	(0.00841)	(0.00882)	(0.00910)	(0.00659)	(0.00533)	(0.00414)		(0.00593)		(0.00556)		(0.00526)	(0.00841)	(0.00882)	(0.00910)	(0.00659)	(0.00533)	(0.00414)
LD.ln_ntl	ln_ntl = L,		0.0101*		0.00918*		0.000825		0.000825		0.0101*		0.00918*		0.000825	-0.00978	0.00318	-0.00671	0.00867	0.00244	-0.00830		0.0101*		0.00918*		0.000825	-0.00978	0.00318	-0.00671	0.00867	0.00244	-0.00830		0.0101*		0.00918*		0.000825	-0.00978	0.00318	-0.00671	0.00867	0.00244	-0.00830
			(0.00576)		(0.00536)		(0.00512)		(0.00512)		(0.00576)		(0.00536)		(0.00512)	(0.00821)	(0.00781)	(0.0101)	(0.00590)	(0.00558)	(0.00569)		(0.00576)		(0.00536)		(0.00512)	(0.00821)	(0.00781)	(0.0101)	(0.00590)	(0.00558)	(0.00569)		(0.00576)		(0.00536)		(0.00512)	(0.00821)	(0.00781)	(0.0101)	(0.00590)	(0.00558)	(0.00569)
L2D.ln_ntl	ln_ntl = L2,		0.0170***		0.0121**		0.00564		0.00564		0.0170***		0.0121**		0.00564	0.00532	0.00865	0.00270	0.0193***	0.00827*	0.00170		0.0170***		0.0121**		0.00564	0.00532	0.00865	0.00270	0.0193***	0.00827*	0.00170		0.0170***		0.0121**		0.00564	0.00532	0.00865	0.00270	0.0193***	0.00827*	0.00170
			(0.00530)		(0.00492)		(0.00473)		(0.00473)		(0.00530)		(0.00492)		(0.00473)	(0.00768)	(0.00690)	(0.00824)	(0.00614)	(0.00487)	(0.00551)		(0.00530)		(0.00492)		(0.00473)	(0.00768)	(0.00690)	(0.00824)	(0.00614)	(0.00487)	(0.00551)		(0.00530)		(0.00492)		(0.00473)	(0.00768)	(0.00690)	(0.00824)	(0.00614)	(0.00487)	(0.00551)
L3D.ln_ntl	ln_ntl = L3,		0.00425		-0.00369		-0.00491		-0.00491		0.00425		-0.00369		-0.00491	-0.00235	-0.00572	-0.00299	0.00577	-0.00668	-0.00602		0.00425		-0.00369		-0.00491	-0.00235	-0.00572	-0.00299	0.00577	-0.00668	-0.00602		0.00425		-0.00369		-0.00491	-0.00235	-0.00572	-0.00299	0.00577	-0.00668	-0.00602
			(0.00439)		(0.00407)		(0.00392)		(0.00392)		(0.00439)		(0.00407)		(0.00392)	(0.00628)	(0.00677)	(0.00794)	(0.00524)	(0.00546)	(0.00648)		(0.00439)		(0.00407)		(0.00392)	(0.00628)	(0.00677)	(0.00794)	(0.00524)	(0.00546)	(0.00648)		(0.00439)		(0.00407)		(0.00392)	(0.00628)	(0.00677)	(0.00794)	(0.00524)	(0.00546)	(0.00648)
L4D.ln_ntl	ln_ntl = L4,		-0.00271		-0.00343		-0.00439		-0.00439		-0.00271		-0.00343		-0.00439	0.000898	-0.00106	-0.000289	0.00453	-0.00145	-0.00186		-0.00271		-0.00343		-0.00439	0.000898	-0.00106	-0.000289	0.00453	-0.00145	-0.00186		-0.00271		-0.00343		-0.00439	0.000898	-0.00106	-0.000289	0.00453	-0.00145	-0.00186
			(0.00327)		(0.00302)		(0.00290)		(0.00290)		(0.00327)		(0.00302)		(0.00290)	(0.00454)	(0.00445)	(0.00445)	(0.00427)	(0.00410)	(0.00363)		(0.00327)		(0.00302)		(0.00290)	(0.00454)	(0.00445)	(0.00445)	(0.00427)	(0.00410)	(0.00363)		(0.00327)		(0.00302)		(0.00290)	(0.00454)	(0.00445)	(0.00445)	(0.00427)	(0.00410)	(0.00363)
D.covid	covid = D,				-0.0346***								-0.0346***				-0.0354***			-0.0335***					-0.0346***				-0.0354***			-0.0335***					-0.0346***				-0.0354***			-0.0335***	
					(0.00400)								(0.00400)				(0.00259)			(0.00215)					(0.00400)				(0.00259)			(0.00215)					(0.00400)				(0.00259)			(0.00215)	
LD.covid	covid = L,				0.00367								0.00367				-0.00664*			-0.00248					0.00367				-0.00664*			-0.00248					0.00367				-0.00664*			-0.00248	
					(0.00410)								(0.00410)				(0.00347)			(0.00385)					(0.00410)				(0.00347)			(0.00385)					(0.00410)				(0.00347)			(0.00385)	
L2D.covid	covid = L2,				-0.0365***								-0.0365***				-0.0392***			-0.0368***					-0.0365***				-0.0392***			-0.0368***					-0.0365***				-0.0392***			-0.0368***	
					(0.00405)								(0.00405)				(0.00384)			(0.00353)					(0.00405)				(0.00384)			(0.00353)					(0.00405)				(0.00384)			(0.00353)	
L3D.covid	covid = L3,				-0.0223***								-0.0223***				-0.0312***			-0.0264***					-0.0223***				-0.0312***			-0.0264***					-0.0223***				-0.0312***			-0.0264***	
					(0.00420)								(0.00420)				(0.00349)			(0.00338)					(0.00420)				(0.00349)			(0.00338)					(0.00420)				(0.00349)			(0.00338)	
L4D.covid	covid = L4,				0.0458***								0.0458***				0.00310			0.00696					0.0458***				0.00310			0.00696					0.0458***				0.00310			0.00696	
					(0.00566)								(0.00566)				(0.00362)			(0.00460)					(0.00566)				(0.00362)			(0.00460)					(0.00566)				(0.00362)			(0.00460)	
ec_dfe			-0.0374***								-0.0374***												-0.0374***												-0.0374***										
			(0.00851)								(0.00851)												(0.00851)												(0.00851)										
ln_ntl	ln_ntl	0.332***		-0.0617		0.589**		0.589**		0.332***		-0.0617		0.589**		0.486***	0.195	-0.713	0.374	0.132	0.426	0.332***		-0.0617		0.589**		0.486***	0.195	-0.713	0.374	0.132	0.426	0.332***		-0.0617		0.589**		0.486***	0.195	-0.713	0.374	0.132	0.426
		(0.114)		(0.181)		(0.283)		(0.283)		(0.114)		(0.181)		(0.283)		(0.155)	(0.334)	(1.098)	(0.379)	(0.282)	(1.113)	(0.114)		(0.181)		(0.283)		(0.155)	(0.334)	(1.098)	(0.379)	(0.282)	(1.113)	(0.114)		(0.181)		(0.283)		(0.155)	(0.334)	(1.098)	(0.379)	(0.282)	(1.113)
covid	covid			-0.0668								-0.0668					0.0311			-0.120				-0.0668					0.0311			-0.120				-0.0668					0.0311			-0.120	
				(0.0947)								(0.0947)					(0.165)			(0.0847)				(0.0947)					(0.165)			(0.0847)				(0.0947)					(0.165)			(0.0847)	
scarring	scarring					-0.100		-0.100						-0.100				-0.0128			-0.0490					-0.100				-0.0128			-0.0490					-0.100				-0.0128			-0.0490
						(0.186)		(0.186)						(0.186)				(0.121)			(0.0735)					(0.186)				(0.121)			(0.0735)					(0.186)				(0.121)			(0.0735)
ec_dfe_sc							-0.0169*		-0.0169*						-0.0169*												-0.0169*												-0.0169*						
							(0.00939)		(0.00939)						(0.00939)												(0.00939)												(0.00939)						
D.scarring	scarring = D,						-0.0563***		-0.0563***						-0.0563***			-0.0560***			-0.0601***						-0.0563***			-0.0560***			-0.0601***						-0.0563***			-0.0560***			-0.0601***
							(0.00527)		(0.00527)						(0.00527)			(0.00491)			(0.00484)						(0.00527)			(0.00491)			(0.00484)						(0.00527)			(0.00491)			(0.00484)
LD.scarring	scarring = L,						-0.000834		-0.000834						-0.000834			-0.0230***			-0.0187***						-0.000834			-0.0230***			-0.0187***						-0.000834			-0.0230***			-0.0187***
							(0.00544)		(0.00544)						(0.00544)			(0.00730)			(0.00560)						(0.00544)			(0.00730)			(0.00560)						(0.00544)			(0.00730)			(0.00560)
L2D.scarring	scarring = L2,						-0.0707***		-0.0707***						-0.0707***			-0.0748***			-0.0752***						-0.0707***			-0.0748***			-0.0752***						-0.0707***			-0.0748***			-0.0752***
							(0.00521)		(0.00521)						(0.00521)			(0.00642)			(0.00571)						(0.00521)			(0.00642)			(0.00571)						(0.00521)			(0.00642)			(0.00571)
L3D.scarring	scarring = L3,						-0.0407***		-0.0407***						-0.0407***			-0.0770***			-0.0720***						-0.0407***			-0.0770***			-0.0720***						-0.0407***			-0.0770***			-0.0720***
							(0.00557)		(0.00557)						(0.00557)			(0.00940)			(0.00799)						(0.00557)			(0.00940)			(0.00799)						(0.00557)			(0.00940)			(0.00799)
L4D.scarring	scarring = L4,						0.0380***		0.0380***						0.0380***			0.00610			0.0110*						0.0380***			0.00610			0.0110*						0.0380***			0.00610			0.0110*
							(0.00549)		(0.00549)						(0.00549)			(0.00607)			(0.00575)						(0.00549)			(0.00607)			(0.00575)						(0.00549)			(0.00607)			(0.00575)
L.ln_pdrb	ln_pdrb = L,															-0.0908***	-0.0457***	-0.0395**	-0.0418	-0.0441	-0.0457							-0.0908***	-0.0457***	-0.0395**	-0.0418	-0.0441	-0.0457							-0.0908***	-0.0457***	-0.0395**	-0.0418	-0.0441	-0.0457
																(0.0154)	(0.0134)	(0.0179)	(0.399)	(0.254)	(0.719)							(0.0154)	(0.0134)	(0.0179)	(0.399)	(0.254)	(0.719)							(0.0154)	(0.0134)	(0.0179)	(0.399)	(0.254)	(0.719)
Constant	Constant		0.438***		0.372***		0.224**		0.224**		0.438***		0.372***		0.224**								0.438***		0.372***		0.224**								0.438***		0.372***		0.224**						
			(0.0959)		(0.105)		(0.103)		(0.103)		(0.0959)		(0.105)		(0.103)								(0.0959)		(0.105)		(0.103)								(0.0959)		(0.105)		(0.103)						
																																													
Observations		.	.	.	.	.	.	.	.	.	.	.	.	.	.	1,598	1,598	1,598	1,598	1,598	1,598	.	.	.	.	.	.	1,598	1,598	1,598	1,598	1,598	1,598	.	.	.	.	.	.	1,598	1,598	1,598	1,598	1,598	1,598
R-squared																0.198	0.144	0.112	0.209	0.153	0.124							0.198	0.144	0.112	0.209	0.153	0.124							0.198	0.144	0.112	0.209	0.153	0.124
DFE		plain	plain	Covid	Covid	Scarring	Scarring	Covid	Covid	plain	plain	Covid	Covid	Scarring	Scarring							plain	plain	Covid	Covid	Scarring	Scarring							plain	plain	Covid	Covid	Scarring	Scarring						
Number of groups																34	34	34	34	34	34							34	34	34	34	34	34							34	34	34	34	34	34
MG																Plain	Covid	Scarring	Scarring	Covid	Scarring							Plain	Covid	Scarring	Scarring	Covid	Scarring							Plain	Covid	Scarring	Scarring	Covid	Scarring
Standard errors in parentheses																																													
*** p<0.01, ** p<0.05, * p<0.1																																													
